,Company Name,Symbol
0,3M India Ltd.,3MINDIA.BSE
1,ABB India Ltd.,ABB.BSE
2,ABB Power Products and Systems India Ltd.,POWERINDIA.BSE
3,ACC Ltd.,ACC.BSE
4,AIA Engineering Ltd.,AIAENG.BSE
5,APL Apollo Tubes Ltd.,APLAPOLLO.BSE
6,AU Small Finance Bank Ltd.,AUBANK.BSE
7,Aarti Drugs Ltd.,AARTIDRUGS.BSE
8,Aarti Industries Ltd.,AARTIIND.BSE
9,Aavas Financiers Ltd.,AAVAS.BSE
10,Abbott India Ltd.,ABBOTINDIA.BSE
11,Adani Enterprises Ltd.,ADANIENT.BSE
12,Adani Green Energy Ltd.,ADANIGREEN.BSE
13,Adani Ports and Special Economic Zone Ltd.,ADANIPORTS.BSE
14,Adani Total Gas Ltd.,ATGL.BSE
15,Adani Transmission Ltd.,ADANITRANS.BSE
16,Aditya Birla Capital Ltd.,ABCAPITAL.BSE
17,Aditya Birla Fashion and Retail Ltd.,ABFRL.BSE
18,Advanced Enzyme Tech Ltd.,ADVENZYMES.BSE
19,Aegis Logistics Ltd.,AEGISCHEM.BSE
20,Affle (India) Ltd.,AFFLE.BSE
21,Ajanta Pharmaceuticals Ltd.,AJANTPHARM.BSE
22,Akzo Nobel India Ltd.,AKZOINDIA.BSE
23,Alembic Ltd.,ALEMBICLTD.BSE
24,Alembic Pharmaceuticals Ltd.,APLLTD.BSE
25,Alkem Laboratories Ltd.,ALKEM.BSE
26,Alkyl Amines Chemicals Ltd.,ALKYLAMINE.BSE
27,Alok Industries Ltd.,ALOKINDS.BSE
28,Amara Raja Batteries Ltd.,AMARAJABAT.BSE
29,Amber Enterprises India Ltd.,AMBER.BSE
30,Ambuja Cements Ltd.,AMBUJACEM.BSE
31,Angel Broking Ltd.,ANGELBRKG.BSE
32,Apollo Hospitals Enterprise Ltd.,APOLLOHOSP.BSE
33,Apollo Tyres Ltd.,APOLLOTYRE.BSE
34,Asahi India Glass Ltd.,ASAHIINDIA.BSE
35,Ashok Leyland Ltd.,ASHOKLEY.BSE
36,Ashoka Buildcon Ltd.,ASHOKA.BSE
37,Asian Paints Ltd.,ASIANPAINT.BSE
38,Aster DM Healthcare Ltd.,ASTERDM.BSE
39,AstraZenca Pharma India Ltd.,ASTRAZEN.BSE
40,Astral Ltd.,ASTRAL.BSE
41,Atul Ltd.,ATUL.BSE
42,Aurobindo Pharma Ltd.,AUROPHARMA.BSE
43,Avanti Feeds Ltd.,AVANTIFEED.BSE
44,Avenue Supermarts Ltd.,DMART.BSE
45,Axis Bank Ltd.,AXISBANK.BSE
46,BASF India Ltd.,BASF.BSE
47,BEML Ltd.,BEML.BSE
48,BSE Ltd.,BSE.BSE
49,Bajaj Auto Ltd.,BAJAJ-AUTO.BSE
50,Bajaj Consumer Care Ltd.,BAJAJCON.BSE
51,Bajaj Electricals Ltd,BAJAJELEC.BSE
52,Bajaj Finance Ltd.,BAJFINANCE.BSE
53,Bajaj Finserv Ltd.,BAJAJFINSV.BSE
54,Bajaj Holdings & Investment Ltd.,BAJAJHLDNG.BSE
55,Balaji Amines Ltd.,BALAMINES.BSE
56,Balkrishna Industries Ltd.,BALKRISIND.BSE
57,Balmer Lawrie & Co. Ltd.,BALMLAWRIE.BSE
58,Balrampur Chini Mills Ltd.,BALRAMCHIN.BSE
59,Bandhan Bank Ltd.,BANDHANBNK.BSE
60,Bank of Baroda,BANKBARODA.BSE
61,Bank of India,BANKINDIA.BSE
62,Bank of Maharashtra.,MAHABANK.BSE
63,Bata India Ltd.,BATAINDIA.BSE
64,Bayer Cropscience Ltd.,BAYERCROP.BSE
65,Berger Paints India Ltd.,BERGEPAINT.BSE
66,Bharat Dynamics Ltd.,BDL.BSE
67,Bharat Electronics Ltd.,BEL.BSE
68,Bharat Forge Ltd.,BHARATFORG.BSE
69,Bharat Heavy Electricals Ltd.,BHEL.BSE
70,Bharat Petroleum Corporation Ltd.,BPCL.BSE
71,Bharat Rasayan Ltd.,BHARATRAS.BSE
72,Bharti Airtel Ltd.,BHARTIARTL.BSE
73,Biocon Ltd.,BIOCON.BSE
74,Birla Corporation Ltd.,BIRLACORPN.BSE
75,Birlasoft Ltd.,BSOFT.BSE
76,Bliss GVS Pharma Ltd.,BLISSGVS.BSE
77,Blue Dart Express Ltd.,BLUEDART.BSE
78,Blue Star Ltd.,BLUESTARCO.BSE
79,Bombay Burmah Trading Corporation Ltd.,BBTC.BSE
80,Bosch Ltd.,BOSCHLTD.BSE
81,Brigade Enterprises Ltd.,BRIGADE.BSE
82,Britannia Industries Ltd.,BRITANNIA.BSE
83,Burger King India Ltd.,BURGERKING.BSE
84,CCL Products (I) Ltd.,CCL.BSE
85,CESC Ltd.,CESC.BSE
86,CRISIL Ltd.,CRISIL.BSE
87,CSB Bank Ltd.,CSBBANK.BSE
88,Cadila Healthcare Ltd.,CADILAHC.BSE
89,Can Fin Homes Ltd.,CANFINHOME.BSE
90,Canara Bank,CANBK.BSE
91,Caplin Point Laboratories Ltd.,CAPLIPOINT.BSE
92,Capri Global Capital Ltd.,CGCL.BSE
93,Carborundum Universal Ltd.,CARBORUNIV.BSE
94,Castrol India Ltd.,CASTROLIND.BSE
95,Ceat Ltd.,CEATLTD.BSE
96,Central Bank of India,CENTRALBK.BSE
97,Central Depository Services (India) Ltd.,CDSL.BSE
98,Century Plyboards (India) Ltd.,CENTURYPLY.BSE
99,Century Textile & Industries Ltd.,CENTURYTEX.BSE
100,Cera Sanitaryware Ltd,CERA.BSE
101,Chalet Hotels Ltd.,CHALET.BSE
102,Chambal Fertilizers & Chemicals Ltd.,CHAMBLFERT.BSE
103,Cholamandalam Financial Holdings Ltd.,CHOLAHLDNG.BSE
104,Cholamandalam Investment and Finance Company Ltd.,CHOLAFIN.BSE
105,Cipla Ltd.,CIPLA.BSE
106,City Union Bank Ltd.,CUB.BSE
107,Coal India Ltd.,COALINDIA.BSE
108,Cochin Shipyard Ltd.,COCHINSHIP.BSE
109,Coforge Ltd.,COFORGE.BSE
110,Colgate Palmolive (India) Ltd.,COLPAL.BSE
111,Computer Age Management Services Ltd.,CAMS.BSE
112,Container Corporation of India Ltd.,CONCOR.BSE
113,Coromandel International Ltd.,COROMANDEL.BSE
114,CreditAccess Grameen Ltd.,CREDITACC.BSE
115,Crompton Greaves Consumer Electricals Ltd.,CROMPTON.BSE
116,Cummins India Ltd.,CUMMINSIND.BSE
117,Cyient Ltd.,CYIENT.BSE
118,DCB Bank Ltd.,DCBBANK.BSE
119,DCM Shriram Ltd.,DCMSHRIRAM.BSE
120,DLF Ltd.,DLF.BSE
121,Dabur India Ltd.,DABUR.BSE
122,Dalmia Bharat Ltd.,DALBHARAT.BSE
123,Deepak Nitrite Ltd.,DEEPAKNTR.BSE
124,Delta Corp Ltd.,DELTACORP.BSE
125,Dhani Services Ltd.,DHANI.BSE
126,Dhanuka Agritech Ltd.,DHANUKA.BSE
127,Dilip Buildcon Ltd.,DBL.BSE
128,Dish TV India Ltd.,DISHTV.BSE
129,Dishman Carbogen Amcis Ltd.,DCAL.BSE
130,Divi's Laboratories Ltd.,DIVISLAB.BSE
131,Dixon Technologies (India) Ltd.,DIXON.BSE
132,Dr. Lal Path Labs Ltd.,LALPATHLAB.BSE
133,Dr. Reddy's Laboratories Ltd.,DRREDDY.BSE
134,E.I.D. Parry (India) Ltd.,EIDPARRY.BSE
135,EIH Ltd.,EIHOTEL.BSE
136,EPL Ltd.,EPL.BSE
137,Edelweiss Financial Services Ltd.,EDELWEISS.BSE
138,Eicher Motors Ltd.,EICHERMOT.BSE
139,Elgi Equipments Ltd.,ELGIEQUIP.BSE
140,Emami Ltd.,EMAMILTD.BSE
141,Endurance Technologies Ltd.,ENDURANCE.BSE
142,Engineers India Ltd.,ENGINERSIN.BSE
143,Equitas Holdings Ltd.,EQUITAS.BSE
144,Eris Lifesciences Ltd.,ERIS.BSE
145,Escorts Ltd.,ESCORTS.BSE
146,Exide Industries Ltd.,EXIDEIND.BSE
147,FDC Ltd.,FDC.BSE
148,Federal Bank Ltd.,FEDERALBNK.BSE
149,Fine Organic Industries Ltd.,FINEORG.BSE
150,Finolex Cables Ltd.,FINCABLES.BSE
151,Finolex Industries Ltd.,FINPIPE.BSE
152,Firstsource Solutions Ltd.,FSL.BSE
153,Fortis Healthcare Ltd.,FORTIS.BSE
154,Future Consumer Ltd.,FCONSUMER.BSE
155,Future Retail Ltd.,FRETAIL.BSE
156,GAIL (India) Ltd.,GAIL.BSE
157,GE Power India Ltd.,GEPIL.BSE
158,GMM Pfaudler Ltd.,GMMPFAUDLR.BSE
159,GMR Infrastructure Ltd.,GMRINFRA.BSE
160,Galaxy Surfactants Ltd.,GALAXYSURF.BSE
161,Garden Reach Shipbuilders & Engineers Ltd.,GRSE.BSE
162,Garware Technical Fibres Ltd.,GARFIBRES.BSE
163,General Insurance Corporation of India,GICRE.BSE
164,Gillette India Ltd.,GILLETTE.BSE
165,Gland Pharma Ltd.,GLAND.BSE
166,Glaxosmithkline Pharmaceuticals Ltd.,GLAXO.BSE
167,Glenmark Pharmaceuticals Ltd.,GLENMARK.BSE
168,Godfrey Phillips India Ltd.,GODFRYPHLP.BSE
169,Godrej Agrovet Ltd.,GODREJAGRO.BSE
170,Godrej Consumer Products Ltd.,GODREJCP.BSE
171,Godrej Industries Ltd.,GODREJIND.BSE
172,Godrej Properties Ltd.,GODREJPROP.BSE
173,Granules India Ltd.,GRANULES.BSE
174,Graphite India Ltd.,GRAPHITE.BSE
175,Grasim Industries Ltd.,GRASIM.BSE
176,Great Eastern Shipping Co. Ltd.,GESHIP.BSE
177,Greaves Cotton Ltd.,GREAVESCOT.BSE
178,Grindwell Norton Ltd.,GRINDWELL.BSE
179,Gujarat Alkalies & Chemicals Ltd.,GUJALKALI.BSE
180,Gujarat Ambuja Exports Ltd.,GAEL.BSE
181,Gujarat Fluorochemicals Ltd.,FLUOROCHEM.BSE
182,Gujarat Gas Ltd.,GUJGASLTD.BSE
183,Gujarat Narmada Valley Fertilizers and Chemicals Ltd.,GNFC.BSE
184,Gujarat Pipavav Port Ltd.,GPPL.BSE
185,Gujarat State Fertilizers & Chemicals Ltd.,GSFC.BSE
186,Gujarat State Petronet Ltd.,GSPL.BSE
187,Gulf Oil Lubricants India Ltd.,GULFOILLUB.BSE
188,H.E.G. Ltd.,HEG.BSE
189,HCL Technologies Ltd.,HCLTECH.BSE
190,HDFC Asset Management Company Ltd.,HDFCAMC.BSE
191,HDFC Bank Ltd.,HDFCBANK.BSE
192,HDFC Life Insurance Company Ltd.,HDFCLIFE.BSE
193,HFCL Ltd.,HFCL.BSE
194,Happiest Minds Technologies Ltd.,HAPPSTMNDS.BSE
195,Hatsun Agro Product Ltd.,HATSUN.BSE
196,Havells India Ltd.,HAVELLS.BSE
197,HeidelbergCement India Ltd.,HEIDELBERG.BSE
198,Hemisphere Properties India Ltd.,HEMIPROP.BSE
199,Hero MotoCorp Ltd.,HEROMOTOCO.BSE
200,Himadri Speciality Chemical Ltd.,HSCL.BSE
201,Hindalco Industries Ltd.,HINDALCO.BSE
202,Hindustan Aeronautics Ltd.,HAL.BSE
203,Hindustan Copper Ltd.,HINDCOPPER.BSE
204,Hindustan Petroleum Corporation Ltd.,HINDPETRO.BSE
205,Hindustan Unilever Ltd.,HINDUNILVR.BSE
206,Hindustan Zinc Ltd.,HINDZINC.BSE
207,Honeywell Automation India Ltd.,HONAUT.BSE
208,Housing & Urban Development Corporation Ltd.,HUDCO.BSE
209,Housing Development Finance Corporation Ltd.,HDFC.BSE
210,Huhtamaki India Ltd.,HUHTAMAKI.BSE
211,ICICI Bank Ltd.,ICICIBANK.BSE
212,ICICI Lombard General Insurance Company Ltd.,ICICIGI.BSE
213,ICICI Prudential Life Insurance Company Ltd.,ICICIPRULI.BSE
214,ICICI Securities Ltd.,ISEC.BSE
215,IDBI Bank Ltd.,IDBI.BSE
216,IDFC First Bank Ltd.,IDFCFIRSTB.BSE
217,IDFC Ltd.,IDFC.BSE
218,IFB Industries Ltd.,IFBIND.BSE
219,IIFL Finance Ltd.,IIFL.BSE
220,IIFL Wealth Management Ltd.,IIFLWAM.BSE
221,IOL Chem and Pharma Ltd.,IOLCP.BSE
222,IRB Infrastructure Developers Ltd.,IRB.BSE
223,IRCON International Ltd.,IRCON.BSE
224,ITC Ltd.,ITC.BSE
225,ITI Ltd.,ITI.BSE
226,India Cements Ltd.,INDIACEM.BSE
227,Indiabulls Housing Finance Ltd.,IBULHSGFIN.BSE
228,Indiabulls Real Estate Ltd.,IBREALEST.BSE
229,Indiamart Intermesh Ltd.,INDIAMART.BSE
230,Indian Bank,INDIANB.BSE
231,Indian Energy Exchange Ltd.,IEX.BSE
232,Indian Hotels Co. Ltd.,INDHOTEL.BSE
233,Indian Oil Corporation Ltd.,IOC.BSE
234,Indian Overseas Bank,IOB.BSE
235,Indian Railway Catering And Tourism Corporation Ltd.,IRCTC.BSE
236,Indo Count Industries Ltd.,ICIL.BSE
237,Indoco Remedies Ltd.,INDOCO.BSE
238,Indraprastha Gas Ltd.,IGL.BSE
239,Indus Towers Ltd.,INDUSTOWER.BSE
240,IndusInd Bank Ltd.,INDUSINDBK.BSE
241,Infibeam Avenues Ltd.,INFIBEAM.BSE
242,Info Edge (India) Ltd.,NAUKRI.BSE
243,Infosys Ltd.,INFY.BSE
244,Ingersoll Rand (India) Ltd.,INGERRAND.BSE
245,Inox Leisure Ltd.,INOXLEISUR.BSE
246,Intellect Design Arena Ltd.,INTELLECT.BSE
247,InterGlobe Aviation Ltd.,INDIGO.BSE
248,Ipca Laboratories Ltd.,IPCALAB.BSE
249,J.B. Chemicals & Pharmaceuticals Ltd.,JBCHEPHARM.BSE
250,J.K. Cement Ltd.,JKCEMENT.BSE
251,JK Lakshmi Cement Ltd.,JKLAKSHMI.BSE
252,JK Paper Ltd.,JKPAPER.BSE
253,JK Tyre & Industries Ltd.,JKTYRE.BSE
254,JM Financial Ltd.,JMFINANCIL.BSE
255,JSW Energy Ltd.,JSWENERGY.BSE
256,JSW Steel Ltd.,JSWSTEEL.BSE
257,JTEKT India Ltd.,JTEKTINDIA.BSE
258,Jamna Auto Industries Ltd.,JAMNAAUTO.BSE
259,Jindal Saw Ltd.,JINDALSAW.BSE
260,Jindal Stainless (Hisar) Ltd.,JSLHISAR.BSE
261,Jindal Stainless Ltd.,JSL.BSE
262,Jindal Steel & Power Ltd.,JINDALSTEL.BSE
263,Johnson Controls - Hitachi Air Conditioning India Ltd.,JCHAC.BSE
264,Jubilant Foodworks Ltd.,JUBLFOOD.BSE
265,Justdial Ltd.,JUSTDIAL.BSE
266,Jyothy Labs Ltd.,JYOTHYLAB.BSE
267,K.P.R. Mill Ltd.,KPRMILL.BSE
268,KEI Industries Ltd.,KEI.BSE
269,KNR Constructions Ltd.,KNRCON.BSE
270,KPIT Technologies Ltd.,KPITTECH.BSE
271,KRBL Ltd.,KRBL.BSE
272,KSB Ltd.,KSB.BSE
273,Kajaria Ceramics Ltd.,KAJARIACER.BSE
274,Kalpataru Power Transmission Ltd.,KALPATPOWR.BSE
275,Kansai Nerolac Paints Ltd.,KANSAINER.BSE
276,Karur Vysya Bank Ltd.,KARURVYSYA.BSE
277,Kaveri Seed Company Ltd.,KSCL.BSE
278,Kec International Ltd.,KEC.BSE
279,Kotak Mahindra Bank Ltd.,KOTAKBANK.BSE
280,L&T Finance Holdings Ltd.,L&TFH.BSE
281,L&T Technology Services Ltd.,LTTS.BSE
282,LIC Housing Finance Ltd.,LICHSGFIN.BSE
283,La Opala RG Ltd.,LAOPALA.BSE
284,Lakshmi Machine Works Ltd.,LAXMIMACH.BSE
285,Larsen & Toubro Infotech Ltd.,LTI.BSE
286,Larsen & Toubro Ltd.,LT.BSE
287,Laurus Labs Ltd.,LAURUSLABS.BSE
288,Lemon Tree Hotels Ltd.,LEMONTREE.BSE
289,Linde India Ltd.,LINDEINDIA.BSE
290,Lupin Ltd.,LUPIN.BSE
291,Lux Industries Ltd.,LUXIND.BSE
292,MAS Financial Services Ltd.,MASFIN.BSE
293,MMTC Ltd.,MMTC.BSE
294,MOIL Ltd.,MOIL.BSE
295,MRF Ltd.,MRF.BSE
296,Mahanagar Gas Ltd.,MGL.BSE
297,Maharashtra Scooters Ltd.,MAHSCOOTER.BSE
298,Maharashtra Seamless Ltd.,MAHSEAMLES.BSE
299,Mahindra & Mahindra Financial Services Ltd.,M&MFIN.BSE
300,Mahindra & Mahindra Ltd.,M&M.BSE
301,Mahindra CIE Automotive Ltd.,MAHINDCIE.BSE
302,Mahindra Holidays & Resorts India Ltd.,MHRIL.BSE
303,Mahindra Logistics Ltd.,MAHLOG.BSE
304,Manappuram Finance Ltd.,MANAPPURAM.BSE
305,Mangalore Refinery & Petrochemicals Ltd.,MRPL.BSE
306,Marico Ltd.,MARICO.BSE
307,Maruti Suzuki India Ltd.,MARUTI.BSE
308,Max Financial Services Ltd.,MFSL.BSE
309,Max Healthcare Institute Ltd.,MAXHEALTH.BSE
310,Mazagoan Dock Shipbuilders Ltd.,MAZDOCK.BSE
311,Metropolis Healthcare Ltd.,METROPOLIS.BSE
312,MindTree Ltd.,MINDTREE.BSE
313,Minda Corporation Ltd.,MINDACORP.BSE
314,Minda Industries Ltd.,MINDAIND.BSE
315,Mishra Dhatu Nigam Ltd.,MIDHANI.BSE
316,Motilal Oswal Financial Services Ltd.,MOTILALOFS.BSE
317,MphasiS Ltd.,MPHASIS.BSE
318,Multi Commodity Exchange of India Ltd.,MCX.BSE
319,Muthoot Finance Ltd.,MUTHOOTFIN.BSE
320,NATCO Pharma Ltd.,NATCOPHARM.BSE
321,NBCC (India) Ltd.,NBCC.BSE
322,NCC Ltd.,NCC.BSE
323,NESCO Ltd.,NESCO.BSE
324,NHPC Ltd.,NHPC.BSE
325,NLC India Ltd.,NLCINDIA.BSE
326,NMDC Ltd.,NMDC.BSE
327,NOCIL Ltd.,NOCIL.BSE
328,NTPC Ltd.,NTPC.BSE
329,Narayana Hrudayalaya Ltd.,NH.BSE
330,National Aluminium Co. Ltd.,NATIONALUM.BSE
331,National Fertilizers Ltd.,NFL.BSE
332,Navin Fluorine International Ltd.,NAVINFLUOR.BSE
333,Nestle India Ltd.,NESTLEIND.BSE
334,Network18 Media & Investments Ltd.,NETWORK18.BSE
335,Nilkamal Ltd.,NILKAMAL.BSE
336,Nippon Life India Asset Management Ltd.,NAM-INDIA.BSE
337,Oberoi Realty Ltd.,OBEROIRLTY.BSE
338,Oil & Natural Gas Corporation Ltd.,ONGC.BSE
339,Oil India Ltd.,OIL.BSE
340,Oracle Financial Services Software Ltd.,OFSS.BSE
341,Orient Electric Ltd.,ORIENTELEC.BSE
342,Orient Refractories Ltd.,ORIENTREF.BSE
343,PI Industries Ltd.,PIIND.BSE
344,PNB Housing Finance Ltd.,PNBHOUSING.BSE
345,PNC Infratech Ltd.,PNCINFRA.BSE
346,PVR Ltd.,PVR.BSE
347,Page Industries Ltd.,PAGEIND.BSE
348,Persistent Systems Ltd.,PERSISTENT.BSE
349,Petronet LNG Ltd.,PETRONET.BSE
350,Pfizer Ltd.,PFIZER.BSE
351,Phillips Carbon Black Ltd.,PHILIPCARB.BSE
352,Phoenix Mills Ltd.,PHOENIXLTD.BSE
353,Pidilite Industries Ltd.,PIDILITIND.BSE
354,Piramal Enterprises Ltd.,PEL.BSE
355,Poly Medicure Ltd.,POLYMED.BSE
356,Polycab India Ltd.,POLYCAB.BSE
357,Polyplex Corporation Ltd.,POLYPLEX.BSE
358,Power Finance Corporation Ltd.,PFC.BSE
359,Power Grid Corporation of India Ltd.,POWERGRID.BSE
360,Prestige Estates Projects Ltd.,PRESTIGE.BSE
361,Prince Pipes and Fittings Ltd.,PRINCEPIPE.BSE
362,Prism Johnson Ltd.,PRSMJOHNSN.BSE
363,Procter & Gamble Health Ltd.,PGHL.BSE
364,Procter & Gamble Hygiene & Health Care Ltd.,PGHH.BSE
365,Punjab National Bank,PNB.BSE
366,Quess Corp Ltd.,QUESS.BSE
367,RBL Bank Ltd.,RBLBANK.BSE
368,REC Ltd.,RECLTD.BSE
369,RITES Ltd.,RITES.BSE
370,Radico Khaitan Ltd,RADICO.BSE
371,Rail Vikas Nigam Ltd.,RVNL.BSE
372,Rain Industries Ltd,RAIN.BSE
373,Rajesh Exports Ltd.,RAJESHEXPO.BSE
374,Rallis India Ltd.,RALLIS.BSE
375,Rashtriya Chemicals & Fertilizers Ltd.,RCF.BSE
376,Ratnamani Metals & Tubes Ltd.,RATNAMANI.BSE
377,Raymond Ltd.,RAYMOND.BSE
378,Redington (India) Ltd.,REDINGTON.BSE
379,Relaxo Footwears Ltd.,RELAXO.BSE
380,Reliance Industries Ltd.,RELIANCE.BSE
381,Responsive Industries Ltd.,RESPONIND.BSE
382,Rossari Biotech Ltd.,ROSSARI.BSE
383,Route Mobile Ltd.,ROUTE.BSE
384,SBI Cards and Payment Services Ltd.,SBICARD.BSE
385,SBI Life Insurance Company Ltd.,SBILIFE.BSE
386,SIS Ltd.,SIS.BSE
387,SJVN Ltd.,SJVN.BSE
388,SKF India Ltd.,SKFINDIA.BSE
389,SRF Ltd.,SRF.BSE
390,Sanofi India Ltd.,SANOFI.BSE
391,Schaeffler India Ltd.,SCHAEFFLER.BSE
392,Schneider Electric Infrastructure Ltd.,SCHNEIDER.BSE
393,Sequent Scientific Ltd.,SEQUENT.BSE
394,Sharda Cropchem Ltd.,SHARDACROP.BSE
395,Sheela Foam Ltd.,SFL.BSE
396,Shilpa Medicare Ltd.,SHILPAMED.BSE
397,Shipping Corporation of India Ltd.,SCI.BSE
398,Shoppers Stop Ltd.,SHOPERSTOP.BSE
399,Shree Cement Ltd.,SHREECEM.BSE
400,Shriram City Union Finance Ltd.,SHRIRAMCIT.BSE
401,Shriram Transport Finance Co. Ltd.,SRTRANSFIN.BSE
402,Siemens Ltd.,SIEMENS.BSE
403,Sobha Ltd.,SOBHA.BSE
404,Solar Industries India Ltd.,SOLARINDS.BSE
405,Solara Active Pharma Sciences Ltd.,SOLARA.BSE
406,Sonata Software Ltd.,SONATSOFTW.BSE
407,Spandana Sphoorty Financial Ltd.,SPANDANA.BSE
408,Spicejet Ltd.,SPICEJET.BSE
409,Star Cement Ltd.,STARCEMENT.BSE
410,State Bank of India,SBIN.BSE
411,Steel Authority of India Ltd.,SAIL.BSE
412,Sterling And Wilson Solar Ltd.,SWSOLAR.BSE
413,Sterlite Technologies Ltd.,STLTECH.BSE
414,Strides Pharma Science Ltd.,STAR.BSE
415,Sudarshan Chemical Industries Ltd.,SUDARSCHEM.BSE
416,Sumitomo Chemical India Ltd.,SUMICHEM.BSE
417,Sun Pharma Advanced Research Company Ltd.,SPARC.BSE
418,Sun Pharmaceutical Industries Ltd.,SUNPHARMA.BSE
419,Sun TV Network Ltd.,SUNTV.BSE
420,Sundaram Clayton Ltd.,SUNCLAYLTD.BSE
421,Sundaram Finance Ltd.,SUNDARMFIN.BSE
422,Sundram Fasteners Ltd.,SUNDRMFAST.BSE
423,Sunteck Realty Ltd.,SUNTECK.BSE
424,Suprajit Engineering Ltd.,SUPRAJIT.BSE
425,Supreme Industries Ltd.,SUPREMEIND.BSE
426,Supreme Petrochem Ltd.,SUPPETRO.BSE
427,Suven Pharmaceuticals Ltd.,SUVENPHAR.BSE
428,Suzlon Energy Ltd.,SUZLON.BSE
429,Swan Energy Ltd.,SWANENERGY.BSE
430,Symphony Ltd.,SYMPHONY.BSE
431,Syngene International Ltd.,SYNGENE.BSE
432,TCI Express Ltd.,TCIEXP.BSE
433,TCNS Clothing Co. Ltd.,TCNSBRANDS.BSE
434,TTK Prestige Ltd.,TTKPRESTIG.BSE
435,TV18 Broadcast Ltd.,TV18BRDCST.BSE
436,TVS Motor Company Ltd.,TVSMOTOR.BSE
437,Tanla Platforms Ltd.,TANLA.BSE
438,Tasty Bite Eatables Ltd.,TASTYBITE.BSE
439,Tata Chemicals Ltd.,TATACHEM.BSE
440,Tata Coffee Ltd.,TATACOFFEE.BSE
441,Tata Communications Ltd.,TATACOMM.BSE
442,Tata Consultancy Services Ltd.,TCS.BSE
443,Tata Consumer Products Ltd.,TATACONSUM.BSE
444,Tata Elxsi Ltd.,TATAELXSI.BSE
445,Tata Investment Corporation Ltd.,TATAINVEST.BSE
446,Tata Motors Ltd DVR,TATAMTRDVR.BSE
447,Tata Motors Ltd.,TATAMOTORS.BSE
448,Tata Power Co. Ltd.,TATAPOWER.BSE
449,Tata Steel Ltd.,TATASTEEL.BSE
450,Teamlease Services Ltd.,TEAMLEASE.BSE
451,Tech Mahindra Ltd.,TECHM.BSE
452,The New India Assurance Company Ltd.,NIACL.BSE
453,The Ramco Cements Ltd.,RAMCOCEM.BSE
454,Thermax Ltd.,THERMAX.BSE
455,Thyrocare Technologies Ltd.,THYROCARE.BSE
456,Timken India Ltd.,TIMKEN.BSE
457,Titan Company Ltd.,TITAN.BSE
458,Torrent Pharmaceuticals Ltd.,TORNTPHARM.BSE
459,Torrent Power Ltd.,TORNTPOWER.BSE
460,Trent Ltd.,TRENT.BSE
461,Trident Ltd.,TRIDENT.BSE
462,Triveni Turbine Ltd.,TRITURBINE.BSE
463,Tube Investments of India Ltd.,TIINDIA.BSE
464,UCO Bank,UCOBANK.BSE
465,UFLEX Ltd.,UFLEX.BSE
466,UPL Ltd.,UPL.BSE
467,UTI Asset Management Company Ltd.,UTIAMC.BSE
468,Ujjivan Financial Services Ltd.,UJJIVAN.BSE
469,Ujjivan Small Finance Bank Ltd.,UJJIVANSFB.BSE
470,UltraTech Cement Ltd.,ULTRACEMCO.BSE
471,Union Bank of India,UNIONBANK.BSE
472,United Breweries Ltd.,UBL.BSE
473,United Spirits Ltd.,MCDOWELL-N.BSE
474,V-Guard Industries Ltd.,VGUARD.BSE
475,V-Mart Retail Ltd.,VMART.BSE
476,V.I.P. Industries Ltd.,VIPIND.BSE
477,VST Industries Ltd.,VSTIND.BSE
478,Vaibhav Global Ltd.,VAIBHAVGBL.BSE
479,Vakrangee Ltd.,VAKRANGEE.BSE
480,Valiant Organics Ltd.,VALIANTORG.BSE
481,Vardhman Textiles Ltd.,VTL.BSE
482,Varroc Engineering Ltd.,VARROC.BSE
483,Varun Beverages Ltd.,VBL.BSE
484,Vedanta Ltd.,VEDL.BSE
485,Venky's (India) Ltd.,VENKEYS.BSE
486,Vinati Organics Ltd.,VINATIORGA.BSE
487,Vodafone Idea Ltd.,IDEA.BSE
488,Voltas Ltd.,VOLTAS.BSE
489,WABCO India Ltd.,WABCOINDIA.BSE
490,Welspun Corp Ltd.,WELCORP.BSE
491,Welspun India Ltd.,WELSPUNIND.BSE
492,Westlife Development Ltd.,WESTLIFE.BSE
493,Whirlpool of India Ltd.,WHIRLPOOL.BSE
494,Wipro Ltd.,WIPRO.BSE
495,Wockhardt Ltd.,WOCKPHARMA.BSE
496,Yes Bank Ltd.,YESBANK.BSE
497,Zee Entertainment Enterprises Ltd.,ZEEL.BSE
498,Zensar Technolgies Ltd.,ZENSARTECH.BSE
499,Zydus Wellness Ltd.,ZYDUSWELL.BSE
500,eClerx Services Ltd.,ECLERX.BSE
